REF_AREA,Reference area,Measure,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,OBS_VALUE
GBR,United Kingdom,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2012,4661.058
BEL,Belgium,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2012,1301.009
ESP,Spain,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2012,5768.856
DNK,Denmark,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2012,795.142
AUT,Austria,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2012,349.041
TUR,Türkiye,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2012,18423.742
KOR,Korea,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2012,7835.5133
KOR,Korea,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2013,9849.7941
TUR,Türkiye,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2014,24014.436
DNK,Denmark,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2014,977.297
BEL,Belgium,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2014,1109.34
ESP,Spain,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2014,5271.442
AUT,Austria,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2014,265.288
KOR,Korea,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2014,10842.4846
GBR,United Kingdom,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2014,2768.693
KOR,Korea,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2015,11260.854
KOR,Korea,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2016,11504.99772
TUR,Türkiye,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2016,19341.73
DNK,Denmark,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2016,672.772
GBR,United Kingdom,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2016,1178.721
ESP,Spain,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2016,3873.755
BEL,Belgium,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2016,780.448
KOR,Korea,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2017,11011.61206
KOR,Korea,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2018,11662.69213
KOR,Korea,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2019,10881.535
KOR,Korea,Primary waste generated,Tonnes,D,"Electricity, gas, steam and air conditioning supply",2020,10429.2975
