TIME_PERIOD,Austria,Belgium,Denmark,Korea,Spain,Türkiye,United Kingdom
2012,3494.592,12935.57,1362.847,39498.763,14418.2,0.0,11497.04
2013,0.0,0.0,0.0,38696.9393,0.0,0.0,0.0
2014,5349.41,13952.18,1070.557,37937.47208,14672.54,14336.08,10434.83
2015,0.0,0.0,0.0,37012.67586,0.0,0.0,0.0
2016,0.0,14321.89,997.731,39179.44553,14134.31,13186.43,11139.82
2017,0.0,0.0,0.0,39526.56121,0.0,0.0,0.0
2018,5660.615,16383.97,993.322,39501.53428,13535.71,0.0,11205.45
2019,0.0,0.0,0.0,47995.2665,0.0,0.0,0.0
2020,5076.609,13862.26,1084.369,54203.9319,12961.9,20103.73,0.0

